INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092ACJ","50372","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-02-24","88.41","82.61","205","188","","","0","SMALL","7980","1982","92","ACJ","Y","COSMOS 1408 DEB","1982-092ACJ","50372"
"1982-092ACK","50373","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-05","88.11","82.54","188","174","","","0","SMALL","8018","1982","92","ACK","Y","COSMOS 1408 DEB","1982-092ACK","50373"
"1982-092ACL","50374","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-07-23","88.95","82.60","229","216","","","0","SMALL","8148","1982","92","ACL","Y","COSMOS 1408 DEB","1982-092ACL","50374"
"1982-092ACM","50375","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-05-22","89.01","82.48","236","215","","","0","SMALL","8306","1982","92","ACM","Y","COSMOS 1408 DEB","1982-092ACM","50375"
"1982-092ACN","50376","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-05-08","88.00","82.57","187","164","","","0","SMALL","8306","1982","92","ACN","Y","COSMOS 1408 DEB","1982-092ACN","50376"
"1982-092ACP","50377","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-07-01","88.48","82.54","212","186","","","0","SMALL","8105","1982","92","ACP","Y","COSMOS 1408 DEB","1982-092ACP","50377"
"1982-092ACQ","50378","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-08-29","87.97","82.53","183","165","","","0","SMALL","8306","1982","92","ACQ","Y","COSMOS 1408 DEB","1982-092ACQ","50378"
"1982-092ACR","50379","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2021-12-25","93.43","81.68","509","376","","","0","SMALL","8306","1982","92","ACR","Y","COSMOS 1408 DEB","1982-092ACR","50379"
"1982-092ACS","50380","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2020-01-18","95.76","81.74","654","456","","","0","SMALL","8426","1982","92","ACS","Y","COSMOS 1408 DEB","1982-092ACS","50380"
"1982-092ACT","50381","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-05-12","89.03","82.66","242","211","","","0","SMALL","8149","1982","92","ACT","Y","COSMOS 1408 DEB","1982-092ACT","50381"
